Timestamp,HeadingPhase,Heading,HeadPing?,TimerPhase,TimerPing?
1596055632.658179,331.1287640568748,115.73986568422464,0,215.38889837265015,0
1596055632.668183,332.92949190111307,115.73986568422464,0,217.18962621688843,0
1596055632.6781785,334.72867479295877,115.73986568422464,0,218.98880910873413,0
1596055632.6881752,336.52807226152566,115.73986568422464,0,220.78820657730103,0
1596055632.6981862,338.33004465074686,115.73986568422464,0,222.59017896652222,0
1596055632.7081842,340.1296996113792,115.73986568422464,0,224.38983392715454,0
1596055632.7181735,341.9277667042747,115.73986568422464,0,226.18790102005005,0
1596055632.7281697,343.7270783421531,115.73986568422464,0,227.98721265792847,0
1596055632.7381766,345.52832117052225,115.73986568422464,0,229.7884554862976,0
1596055632.7481868,347.3301648137107,115.73986568422464,0,231.59029912948608,0
1596055632.758173,349.12767400713113,115.73986568422464,0,233.3878083229065,0
1596055632.7681715,350.92741479845193,115.73986568422464,0,235.1875491142273,0
1596055632.7781756,352.7281426426902,115.73986568422464,0,236.98827695846558,0
1596055632.7881846,354.5297717091575,115.73986568422464,0,238.78990602493286,0
1596055632.7981877,356.33032789201883,115.73986568422464,0,240.5904622077942,0
1596055632.808177,358.12839498491434,115.73986568422464,0,242.3885293006897,0
1596055632.8181765,359.9283074376121,115.73986568422464,0,244.18844175338745,0
1596055632.818589,0.0025509831443173425,115.73986568422464,1,244.26268529891968,0
1596055632.8281636,1.725988292409454,115.73986568422464,0,245.98612260818481,0
1596055632.8281636,0.5177964877228363,114.53167387953802,0,245.98612260818481,0
1596055632.8282623,0.5355634402374676,114.53167387953802,0,246.00388956069946,0
1596055632.8332675,1.4364852618317059,114.53167387953802,0,246.9048113822937,0
1596055632.8332675,0.43094557854951177,113.52613419625582,0,246.9048113822937,0
1596055632.8381739,1.31410044762913,113.52613419625582,0,247.7879662513733,0
1596055632.8481698,3.1133691701633097,113.52613419625582,0,249.58723497390747,0
1596055632.858182,4.9155561361056925,113.52613419625582,0,251.38942193984985,0
1596055632.868178,6.714824858639872,113.52613419625582,0,253.18869066238403,0
1596055632.8781734,8.514007750485575,113.52613419625582,0,254.98787355422974,0
1596055632.8881876,10.316580954526103,113.52613419625582,0,256.79044675827026,0
1596055632.8981743,12.11417597863499,113.52613419625582,0,258.58804178237915,0
1596055632.9081802,13.915247145627177,113.52613419625582,0,260.38911294937134,0
1596055632.9181728,15.71391505334202,113.52613419625582,0,262.1877808570862,0
1596055632.928174,17.514127913449443,113.52613419625582,0,263.9879937171936,0
1596055632.9381855,19.31618613335911,113.52613419625582,0,265.79005193710327,0
1596055632.9481785,21.11493987176243,113.52613419625582,0,267.5888056755066,0
1596055632.958171,22.913564864133036,113.52613419625582,0,269.3874306678772,0
1596055632.968183,24.71575183007542,113.52613419625582,0,271.1896176338196,0
1596055632.978174,26.514119330380595,113.52613419625582,0,272.98798513412476,0
1596055632.9881837,28.315877142880595,113.52613419625582,0,274.78974294662476,0
1596055632.9981797,30.115145865414775,113.52613419625582,0,276.58901166915894,0
1596055633.0081787,31.914972487424052,113.52613419625582,0,278.3888382911682,0
1596055633.0181766,33.71458453271214,113.52613419625582,0,280.1884503364563,0
1596055633.0281763,35.51453990075413,113.52613419625582,0,281.9884057044983,0
1596055633.0381765,37.3145810994846,113.52613419625582,0,283.78844690322876,0
1596055633.0481718,39.113721075986064,113.52613419625582,0,285.5875868797302,0
1596055633.0581732,40.913976851437724,113.52613419625582,0,287.3878426551819,0
1596055633.0681796,42.71513384911839,113.52613419625582,0,289.18899965286255,0
1596055633.0781822,44.51560420129124,113.52613419625582,0,290.9894700050354,0
1596055633.0881681,46.31307047936741,113.52613419625582,0,292.7869362831116,0
1596055633.098172,48.113755408261454,113.52613419625582,0,294.5876212120056,0
1596055633.108181,49.91538447472874,113.52613419625582,0,296.3892502784729,0
1596055633.1181831,51.715768996213114,113.52613419625582,0,298.1896347999573,0
1596055633.1281679,53.513020697568095,113.52613419625582,0,299.98688650131226,0
1596055633.1381853,55.31615180108372,113.52613419625582,0,301.7900176048279,0
1596055633.1481743,57.11417597863499,113.52613419625582,0,303.58804178237915,0
1596055633.1581678,58.913015547726786,113.52613419625582,0,305.38688135147095,0
1596055633.1681807,60.715331259701884,113.52613419625582,0,307.18919706344604,0
1596055633.1781828,62.51571578118626,113.52613419625582,0,308.9895815849304,0
1596055633.1881754,64.3143836889011,113.52613419625582,0,310.78824949264526,0
1596055633.1981876,66.11657065484349,113.52613419625582,0,312.59043645858765,0
1596055633.208177,67.91468066308323,113.52613419625582,0,314.3885464668274,0
1596055633.21818,69.71519393060032,113.52613419625582,0,316.1890597343445,0
1596055633.228178,71.51484889123265,113.52613419625582,0,317.9887146949768,0
1596055633.238187,73.31647795769993,113.52613419625582,0,319.7903437614441,0
1596055633.2481804,75.11527461144749,113.52613419625582,0,321.58914041519165,0
1596055633.2581778,76.9148008260471,113.52613419625582,0,323.38866662979126,0
1596055633.2681725,78.71385497186009,113.52613419625582,0,325.18772077560425,0
1596055633.2781725,80.51385325524632,113.52613419625582,0,326.9877190589905,0
1596055633.2881675,82.31295031640354,113.52613419625582,0,328.7868161201477,0
1596055633.2981875,84.11655348870579,113.52613419625582,0,330.59041929244995,0
1596055633.308169,85.91320437524143,113.52613419625582,0,332.3870701789856,0
1596055633.3181815,87.7154771718723,113.52613419625582,0,334.18934297561646,0
1596055633.3281784,89.51491755578343,113.52613419625582,0,335.9887833595276,0
1596055633.338167,91.31285590264622,113.52613419625582,0,337.7867217063904,0
1596055633.348171,93.1135837468845,113.52613419625582,0,339.58744955062866,0
1596055633.358186,94.91628569695774,113.52613419625582,0,341.3901515007019,0
1596055633.368176,96.71448153588597,113.52613419625582,0,343.1883473396301,0
1596055633.3781772,98.51469439599339,113.52613419625582,0,344.98856019973755,0
1596055633.3881752,100.31434935662571,113.52613419625582,0,346.7882151603699,0
1596055633.3981698,102.11336058709446,113.52613419625582,0,348.5872263908386,0
1596055633.4081867,103.91640585992161,113.52613419625582,0,350.39027166366577,0
1596055633.4181707,105.71352881524388,113.52613419625582,0,352.18739461898804,0
1596055633.4281788,107.51498622033421,113.52613419625582,0,353.98885202407837,0
1596055633.4381828,109.31571406457249,113.52613419625582,0,355.78957986831665,0
1596055633.4481812,111.11541194054905,113.52613419625582,0,357.5892777442932,0
1596055633.4581888,112.91678351495091,113.52613419625582,0,359.39064931869507,0
