Type = Reachback Firefly,Function = Reachback Firefly (ln/e^),Refract = 0.05,Epsilon = 0.002,Start_phase = 116
Timestamp,Phase,Offset,Ping?
1596173749.8899992,276.1973581314087,0.6444444444444445,0,42
1596173749.8999991,277.9958543777466,0.6444444444444445,0,42
1596173749.9099991,279.7959384918213,0.6444444444444445,0,42
1596173749.9199991,281.5965805053711,0.6444444444444445,0,42
1596173749.929999,283.3948621749878,0.6444444444444445,0,42
1596173749.939999,285.19511795043945,0.6444444444444445,0,42
1596173749.949999,286.9942150115967,0.6444444444444445,0,42
1596173749.959999,288.79524326324463,0.6444444444444445,0,42
1596173749.969999,290.5960998535156,0.6444444444444445,0,42
1596173749.979999,292.3961410522461,0.6444444444444445,0,42
1596173749.989999,294.19708347320557,0.6444444444444445,0,42
1596173749.999999,295.9956226348877,0.6444444444444445,0,42
1596173750.009999,297.7950201034546,0.6444444444444445,0,42
1596173750.019999,299.59630584716797,0.6444444444444445,0,42
1596173750.029999,301.3963899612427,0.6444444444444445,0,42
1596173750.039999,303.19475746154785,0.6444444444444445,0,42
1596173750.049999,304.99617195129395,0.6444444444444445,0,42
1596173750.059999,306.7974576950073,0.6444444444444445,0,42
1596173750.069999,308.59488105773926,0.6444444444444445,0,42
1596173750.079999,310.3945789337158,0.6444444444444445,0,42
1596173750.089999,312.19728088378906,0.6444444444444445,0,42
1596173750.099999,313.9949188232422,0.6444444444444445,0,42
1596173750.109999,315.79517459869385,0.6444444444444445,0,42
1596173750.119999,317.5962886810303,0.6444444444444445,0,42
1596173750.129999,319.3944845199585,0.6444444444444445,0,42
1596173750.139999,321.1964998245239,0.6444444444444445,0,42
1596173750.149999,322.996111869812,0.6444444444444445,0,42
1596173750.159999,324.79748344421387,0.6444444444444445,0,42
1596173750.169999,326.59606552124023,0.6444444444444445,0,42
1596173750.1799989,328.3949909210205,0.6444444444444445,0,42
1596173750.1899989,330.196834564209,0.6444444444444445,0,42
1596173750.1999989,331.9951162338257,0.6444444444444445,0,42
1596173750.2099988,333.79481410980225,0.6444444444444445,0,42
1596173750.2199988,335.5967435836792,0.6444444444444445,0,42
1596173750.2299988,337.3943815231323,0.6444444444444445,0,42
1596173750.2399988,339.1960964202881,0.6444444444444445,0,42
1596173750.2499988,340.9966526031494,0.6444444444444445,0,42
1596173750.2599988,342.79497718811035,0.6444444444444445,0,42
1596173750.2699988,344.59630584716797,0.6444444444444445,0,42
1596173750.2799988,346.3946304321289,0.6444444444444445,0,42
1596173750.2899988,348.19565868377686,0.6444444444444445,0,42
1596173750.2999988,349.9947986602783,0.6444444444444445,0,42
1596173750.3099988,351.79501152038574,0.6444444444444445,0,42
1596173750.3199987,353.59634017944336,0.6444444444444445,0,42
1596173750.3299987,355.39573764801025,0.6444444444444445,0,42
1596173750.3399987,357.1966800689697,0.6444444444444445,0,42
1596173750.3499987,358.9960775375366,0.6444444444444445,0,42
1596173750.3555887,360,0.6444444444444445,1
1596173750.3555887,0,0,0
1596173750.3655887,1.8030881881713867,0,0,42
1596173750.3755887,3.6034297943115234,0,0,42
1596173750.3855886,5.400123596191406,0,0,42
1596173750.3955886,7.203426361083984,0,0,42
1596173750.4055886,9.000120162963867,0,0,42
1596173750.4067173,9.203152656555176,0,0
1596173750.4067173,9.203152656555176,0,0
1596173750.4155886,10.80080509185791,0,0,42
1596173750.4255886,12.60058879852295,0,0,42
1596173750.4355886,14.401702880859375,0,0,42
1596173750.4455886,16.20032787322998,0,0,42
1596173750.4555886,18.002257347106934,0,0,42
1596173750.4655886,19.800281524658203,0,0,42
1596173750.4755886,21.602811813354492,0,0,42
1596173750.4855886,23.402810096740723,0,0,42
1596173750.4955885,25.20186424255371,0,0,42
1596173750.5055885,27.000961303710938,0,0,42
1596173750.5155885,28.802976608276367,0,0,42
1596173750.5180829,29.248952865600586,0,0
1596173750.5180829,29.248952865600586,0,0
1596173750.5255885,30.602760314941406,0,0,42
1596173750.5355885,32.402586936950684,0,0,42
1596173750.5455885,34.20310020446777,0,0,42
1596173750.5555885,36.00026607513428,0,0,42
1596173750.5655885,37.80344009399414,0,0,42
1596173750.5755885,39.60245132446289,0,0,42
1596173750.5855885,41.40150547027588,0,0,42
1596173750.5955884,43.20047378540039,0,0,42
1596173750.6055884,45.00227451324463,0,0,42
1596173750.6155884,46.8032169342041,0,0,42
1596173750.6255884,48.6029577255249,0,0,42
1596173750.6355884,50.40132522583008,0,0,42
1596173750.6455884,52.20308303833008,0,0,42
1596173750.6555884,53.999948501586914,0,0,42
1596173750.6655884,55.80235004425049,0,0,42
1596173750.6755884,57.60161876678467,0,0,42
1596173750.6855884,59.40200328826904,0,0,42
1596173750.6955884,61.202216148376465,0,0,42
1596173750.7055883,63.00011157989502,0,0,42
1596173750.7155883,64.80238437652588,0,0,42
1596173750.7255883,66.60251140594482,0,0,42
1596173750.7355883,68.40152263641357,0,0,42
1596173750.7455883,70.20040512084961,0,0,42
1596173750.7555883,72.0023775100708,0,0,42
1596173750.7655883,73.80160331726074,0,0,42
1596173750.7755883,75.60250282287598,0,0,42
1596173750.7855883,77.40275859832764,0,0,42
1596173750.7955883,79.20159816741943,0,0,42
1596173750.8055882,81.00271224975586,0,0,42
1596173750.8155882,82.80035018920898,0,0,42
1596173750.8255882,84.60292339324951,0,0,42
1596173750.8355882,86.40056133270264,0,0,42
1596173750.8455882,88.20219039916992,0,0,42
1596173750.8555882,90.00248908996582,0,0,42
1596173750.8655882,91.80205821990967,0,0,42
1596173750.8755882,93.60192775726318,0,0,42
1596173750.8855882,95.40201187133789,0,0,42
1596173750.8955882,97.2011947631836,0,0,42
1596173750.9055882,99.0009355545044,0,0,42
1596173750.9155881,100.80162048339844,0,0,42
1596173750.9255881,102.60213375091553,0,0,42
1596173750.9355881,104.40045833587646,0,0,42
1596173750.945588,106.1998987197876,0,0,42
1596173750.955588,108.00174236297607,0,0,42
1596173750.965588,109.80161190032959,0,0,42
1596173750.975588,111.6022539138794,0,0,42
1596173750.985588,113.40152263641357,0,0,42
1596173750.995588,115.19993305206299,0,0,42
1596173751.005588,117.00121879577637,0,0,42
1596173751.015588,118.8001012802124,0,0,42
1596173751.025588,120.60108661651611,0,0,42
1596173751.035588,122.40048408508301,0,0,42
1596173751.045588,124.2000961303711,0,0,42
1596173751.055588,126.00099563598633,0,0,42
1596173751.065588,127.80296802520752,0,0,42
1596173751.075588,129.60039138793945,0,0,42
1596173751.085588,131.4003038406372,0,0,42
1596173751.095588,133.20291996002197,0,0,42
1596173751.105588,135.0029182434082,0,0,42
1596173751.115588,136.80162906646729,0,0,42
1596173751.125588,138.60033988952637,0,0,42
1596173751.135588,140.4023551940918,0,0,42
1596173751.145588,142.2020959854126,0,0,42
1596173751.155588,144.0016222000122,0,0,42
1596173751.165588,145.8006763458252,0,0,42
1596173751.175588,147.60084629058838,0,0,42
1596173751.185588,149.40208911895752,0,0,42
1596173751.1955879,151.20062828063965,0,0,42
1596173751.2055879,153.0004119873047,0,0,42
1596173751.2155879,154.8011827468872,0,0,42
1596173751.2255878,156.5998935699463,0,0,42
1596173751.2355878,158.40281009674072,0,0,42
1596173751.2455878,160.2031946182251,0,0,42
1596173751.2555878,161.99988842010498,0,0,42
1596173751.2655878,163.80276203155518,0,0,42
1596173751.2755878,165.60147285461426,0,0,42
1596173751.2855878,167.40052700042725,0,0,42
1596173751.2955878,169.2012119293213,0,0,42
1596173751.3055878,171.0000514984131,0,0,42
1596173751.3155878,172.80202388763428,0,0,42
1596173751.3255877,174.60262298583984,0,0,42
1596173751.3355877,176.40244960784912,0,0,42
1596173751.3455877,178.2011604309082,0,0,42
1596173751.3555877,180.00038623809814,0,0,42
1596173751.3655877,181.80295944213867,0,0,42
1596173751.3755877,183.6012840270996,0,0,42
1596173751.3855877,185.40261268615723,0,0,42
1596173751.3955877,187.20110893249512,0,0,42
1596173751.4055877,189.00269508361816,0,0,42
1596173751.4155877,190.7999038696289,0,0,42
1596173751.4255877,192.60080337524414,0,0,42
1596173751.4355876,194.40080165863037,0,0,42
1596173751.4455876,196.2011432647705,0,0,42
1596173751.4555876,198.00225734710693,0,0,42
1596173751.4655876,199.80182647705078,0,0,42
1596173751.4755876,201.6003656387329,0,0,42
1596173751.4855876,203.40195178985596,0,0,42
1596173751.4955876,205.20267963409424,0,0,42
1596173751.5055876,207.0001459121704,0,0,42
1596173751.5155876,208.80207538604736,0,0,42
1596173751.5255876,210.6024169921875,0,0,42
1596173751.5355875,212.40241527557373,0,0,42
1596173751.5455875,214.20142650604248,0,0,42
1596173751.5555875,216.001296043396,0,0,42
1596173751.5655875,217.80198097229004,0,0,42
1596173751.5755875,219.60004806518555,0,0,42
1596173751.5855875,221.40300750732422,0,0,42
1596173751.5955875,223.20086002349854,0,0,42
1596173751.6055875,225.00154495239258,0,0,42
1596173751.6155875,226.80145740509033,0,0,42
1596173751.6255875,228.60029697418213,0,0,42
1596173751.6355875,230.40162563323975,0,0,42
1596173751.6455874,232.2002077102661,0,0,42
1596173751.6555874,234.0023946762085,0,0,42
1596173751.6655874,235.80277919769287,0,0,42
1596173751.6755874,237.603120803833,0,0,42
1596173751.6855874,239.40148830413818,0,0,42
1596173751.6955874,241.20178699493408,0,0,42
1596173751.7055874,243.00225734710693,0,0,42
1596173751.7155874,244.8022985458374,0,0,42
1596173751.7255874,246.600022315979,0,0,42
1596173751.7355874,248.40057849884033,0,0,42
1596173751.7455873,250.2029800415039,0,0,42
1596173751.7555873,251.99984550476074,0,0,42
1596173751.7655873,253.80181789398193,0,0,42
1596173751.7755873,255.59975624084473,0,0,42
1596173751.7855873,257.40039825439453,0,0,42
1596173751.7955873,259.2015552520752,0,0,42
1596173751.8055873,261.0011672973633,0,0,42
1596173751.8155873,262.80043601989746,0,0,42
