Type = Mirollor Strogatz (-ish),Function = Mirollor Strogatz,Refract = 0.05,Epsilon = 0.3,B = 5,Start_phase = 105
Timestamp,Phase,Offset,Ping?
1596178289,105,0,0
1596178289.0028787,105.51498413085938,0.5833333333333334,0
1596178289.0028787,360.0,1.9971389770507812,0
1596178289.003039,360,1.9971389770507812,1
1596178289.003039,0,0,0
1596178289.913038,163.80194664001465,0,0,42
1596178289.923038,165.60082912445068,0,0,42
1596178289.933038,167.40258693695068,0,0,42
1596178289.943038,169.20172691345215,0,0,42
1596178289.953038,171.00305557250977,0,0,42
1596178289.963038,172.80022144317627,0,0,42
1596178289.973038,174.6002197265625,0,0,42
1596178289.983038,176.40240669250488,0,0,42
1596178289.993038,178.20210456848145,0,0,42
1596178290.003038,180.00094413757324,0,0,42
1596178290.013038,181.8021011352539,0,0,42
1596178290.023038,183.60257148742676,0,0,42
1596178290.033038,185.40295600891113,0,0,42
1596178290.043038,187.20055103302002,0,0,42
1596178290.053038,189.0020513534546,0,0,42
1596178290.0630379,190.80217838287354,0,0,42
1596178290.0730379,192.603120803833,0,0,42
1596178290.0830379,194.4007158279419,0,0,42
1596178290.0930378,196.2006711959839,0,0,42
1596178290.1030378,198.0016565322876,0,0,42
1596178290.1130378,199.80096817016602,0,0,42
1596178290.1230378,201.60049438476562,0,0,42
1596178290.1330378,203.40040683746338,0,0,42
1596178290.1430378,205.201735496521,0,0,42
1596178290.1530378,207.00186252593994,0,0,42
1596178290.1630378,208.8032341003418,0,0,42
1596178290.1730378,210.60190200805664,0,0,42
1596178290.1830378,212.40314483642578,0,0,42
1596178290.1930377,214.19983863830566,0,0,42
1596178290.2030377,216.00035190582275,0,0,42
1596178290.2130377,217.8028392791748,0,0,42
1596178290.2230377,219.60047721862793,0,0,42
1596178290.2330377,221.40060424804688,0,0,42
1596178290.2430377,223.20055961608887,0,0,42
1596178290.2530377,225.00261783599854,0,0,42
1596178290.2630377,226.8030881881714,0,0,42
1596178290.2730377,228.6009407043457,0,0,42
1596178290.2830377,230.40038108825684,0,0,42
1596178290.2930377,232.20072269439697,0,0,42
1596178290.3030376,233.99986267089844,0,0,42
1596178290.3130376,235.80140590667725,0,0,42
1596178290.3230376,237.6025629043579,0,0,42
1596178290.3330376,239.40114498138428,0,0,42
1596178290.3430376,241.1998987197876,0,0,42
1596178290.3530376,243.00285816192627,0,0,42
1596178290.3630376,244.8021697998047,0,0,42
1596178290.3730376,246.601824760437,0,0,42
1596178290.3830376,248.402681350708,0,0,42
