Time Stamp,Phase Value,Heading,Ping?
1596210330.7664084,69.41502234898508,291.4639057870954,0
1596210330.776402,71.21386191807687,291.4639057870954,0
1596210330.7864153,73.01626346074045,291.4639057870954,0
1596210330.796415,74.81621882878244,291.4639057870954,0
1596210330.8064077,76.61484382115304,291.4639057870954,0
1596210330.8164062,78.41462752781808,291.4639057870954,0
1596210330.8264115,80.21565577946603,291.4639057870954,0
1596210330.8363972,82.01299331150949,291.4639057870954,0
1596210330.8464096,83.81522319279611,291.4639057870954,0
1596210330.8564136,85.61603686772287,291.4639057870954,0
1596210330.8664086,87.4151339288801,291.4639057870954,0
1596210330.8764145,89.2161192651838,291.4639057870954,0
1596210330.8864126,91.01573131047189,291.4639057870954,0
1596210330.896396,92.81281135044992,291.4639057870954,0
1596210330.9064124,94.61572787724435,291.4639057870954,0
1596210330.916414,96.41602656804025,291.4639057870954,0
1596210330.926396,98.21284911595285,291.4639057870954,0
1596210330.9364138,100.01598021946847,291.4639057870954,0
1596210330.9464135,101.8159785028547,291.4639057870954,0
1596210330.956409,103.61516139470041,291.4639057870954,0
1596210330.9663975,105.41305682621896,291.4639057870954,0
1596210330.9764016,107.21387050114572,291.4639057870954,0
1596210330.9864132,109.01597163639963,291.4639057870954,0
1596210330.9964108,110.81549785099924,291.4639057870954,0
1596210331.0064151,112.61622569523752,291.4639057870954,0
1596210331.0164149,114.41622397862375,291.4639057870954,0
1596210331.0263991,116.21338984929025,291.4639057870954,0
1596210331.0364103,118.01540515385568,291.4639057870954,0
1596210331.046412,119.81570384465158,291.4639057870954,0
1596210331.0564096,121.61527297459543,291.4639057870954,0
1596210331.0664048,123.41445586644113,291.4639057870954,0
1596210331.0764139,125.21604201756418,291.4639057870954,0
1596210331.0864015,127.01380870305002,291.4639057870954,0
1596210331.0964081,128.81505153141916,291.4639057870954,0
1596210331.1063955,130.61264655552804,291.4639057870954,0
1596210331.116412,132.4156918283552,291.4639057870954,0
1596210331.1263976,134.21311519108713,291.4639057870954,0
1596210331.136411,136.01543090306222,291.4639057870954,0
1596210331.1464052,137.81444213353097,291.4639057870954,0
1596210331.1564074,139.6148695703596,291.4639057870954,0
1596210331.1663947,141.41255042515695,291.4639057870954,0
1596210331.1763964,143.2128920312971,291.4639057870954,0
1596210331.1863968,145.0129761453718,291.4639057870954,0
1596210331.1964028,146.81400439701974,291.4639057870954,0
1596210331.2064142,148.61610553227365,291.4639057870954,0
1596210331.2163994,150.4134430643171,291.4639057870954,0
1596210331.2264013,152.21378467045724,291.4639057870954,0
1596210331.2364,154.0134825464338,291.4639057870954,0
1596210331.2464006,155.8135666605085,291.4639057870954,0
1596210331.256396,157.61279246769845,291.4639057870954,0
1596210331.2664142,159.4160523172468,291.4639057870954,0
1596210331.2764063,161.2146773096174,291.4639057870954,0
1596210331.2864,163.0135168787092,291.4639057870954,0
1596210331.2963986,164.81325767003,291.4639057870954,0
1596210331.3063986,166.6133417841047,291.4639057870954,0
1596210331.316406,168.41462752781808,291.4639057870954,0
1596210331.3264022,170.21398208104074,291.4639057870954,0
1596210331.3364084,172.0150103326887,291.4639057870954,0
1596210331.3464143,173.81608149968088,291.4639057870954,0
1596210331.356396,175.612818216905,291.4639057870954,0
1596210331.366403,177.41406104527414,291.4639057870954,0
1596210331.376408,179.2150034662336,291.4639057870954,0
1596210331.3864062,181.0146155115217,291.4639057870954,0
1596210331.3963943,182.81251094304025,291.4639057870954,0
1596210331.4064023,184.6138825174421,291.4639057870954,0
1596210331.416402,186.41388080082834,291.4639057870954,0
1596210331.4264064,188.21460864506662,291.4639057870954,0
1596210331.4363954,190.0127615686506,291.4639057870954,0
1596210331.4464056,191.81456229649484,291.4639057870954,0
1596210331.4564095,193.61520431004465,291.4639057870954,0
1596210331.4664114,195.41554591618478,291.4639057870954,0
1596210331.4764059,197.21455714665353,291.4639057870954,0
1596210331.486405,199.0143837686628,291.4639057870954,0
1596210331.4964004,200.813652491197,291.4639057870954,0
1596210331.5064085,202.61506698094308,291.4639057870954,0
1596210331.516396,204.41283366642892,291.4639057870954,0
1596210331.5264068,206.21476314030588,291.4639057870954,0
1596210331.5364048,208.01437518559396,291.4639057870954,0
1596210331.5463984,209.81325767003,291.4639057870954,0
1596210331.556402,211.6138996835798,291.4639057870954,0
1596210331.5664098,213.41527125798166,291.4639057870954,0
