Timestamp,Phase,Heading,Ping?
1595875265.1121159,279.86794694243446,9.866788228140015,0
1595875265.1221273,281.6700051623441,9.866788228140015,0
1595875265.1321132,283.4674714404203,9.866788228140015,0
1595875265.1421144,285.2676843005277,9.866788228140015,0
1595875265.1521153,287.0678542452909,9.866788228140015,0
1595875265.162119,288.8684962588407,9.866788228140015,0
1595875265.1721232,290.6692670184232,9.866788228140015,0
1595875265.1821258,292.4697373705961,9.866788228140015,0
1595875265.192127,294.2699502307035,9.866788228140015,0
1595875265.2021239,296.06939061461463,9.866788228140015,0
1595875265.2121208,297.86883099852577,9.866788228140015,0
1595875265.222118,299.66831429778114,9.866788228140015,0
1595875265.2321155,301.467883427725,9.866788228140015,0
1595875265.2421079,303.2665084200956,9.866788228140015,0
1595875265.2521122,305.0672791796781,9.866788228140015,0
1595875265.262108,306.8665479022123,9.866788228140015,0
1595875265.2721078,308.6665032702543,9.866788228140015,0
1595875265.2821162,310.46800359068885,9.866788228140015,0
1595875265.2921145,312.2677014666654,9.866788228140015,0
1595875265.302108,314.0665410357572,9.866788228140015,0
1595875265.3121135,315.8675263720609,9.866788228140015,0
1595875265.3221204,317.66876920043006,9.866788228140015,0
1595875265.3321116,319.4671796160795,9.866788228140015,0
1595875265.342124,321.2694094973661,9.866788228140015,0
1595875265.3521252,323.0696223574735,9.866788228140015,0
1595875265.362113,324.8674319583036,9.866788228140015,0
1595875265.3721118,326.66721566496864,9.866788228140015,0
1595875265.3821197,328.46863015471473,9.866788228140015,0
1595875265.3921216,330.26897176085487,9.866788228140015,0
1595875265.4021237,332.06935628233924,9.866788228140015,0
1595875265.41212,333.8687108355619,9.866788228140015,0
1595875265.4221098,335.6668637591459,9.866788228140015,0
1595875265.4321232,337.46926530180946,9.866788228140015,0
1595875265.4421132,339.2674611407377,9.866788228140015,0
1595875265.4521258,341.06973393736854,9.866788228140015,0
1595875265.4621158,342.86792977629676,9.866788228140015,0
1595875265.4721122,344.6672843295194,9.866788228140015,0
1595875265.4821165,346.46805508910194,9.866788228140015,0
1595875265.4921267,348.2698987322904,9.866788228140015,0
1595875265.502112,350.06723626433387,9.866788228140015,0
1595875265.5121136,351.86753495512977,9.866788228140015,0
1595875265.522115,353.66779073058143,9.866788228140015,0
1595875265.5229003,353.80915387450233,9.866788228140015,0
1595875265.5229003,355.6664077121516,11.724042065789316,0
1595875265.5321193,357.32581532781325,11.724042065789316,0
1595875265.542109,359.12396825139723,11.724042065789316,0
1595875265.5469933,360,11.724042065789316,1
1595875265.5469933,0,11.724042065789316,0
1595875265.5569973,13.524769910027597,11.724042065789316,0
1595875265.567002,15.325626500298593,11.724042065789316,0
1595875265.5770078,17.126654751946543,11.724042065789316,0
1595875265.5870056,18.92626679723463,11.724042065789316,0
1595875265.597006,20.726350911309336,11.724042065789316,0
1595875265.6070015,22.52553380315504,11.724042065789316,0
1595875265.6169977,24.324845441033457,11.724042065789316,0
1595875265.626999,26.12505830114088,11.724042065789316,0
1595875265.6370068,27.926472790886972,11.724042065789316,0
1595875265.6469958,29.724496968438242,11.724042065789316,0
1595875265.6570077,31.526641019036386,11.724042065789316,0
1595875265.6669943,33.32423604314528,11.724042065789316,0
1595875265.677007,35.126508839776136,11.724042065789316,0
1595875265.6869972,36.9247475940486,11.724042065789316,0
1595875265.6970012,38.72547543828688,11.724042065789316,0
1595875265.7070024,40.5256882983943,11.724042065789316,0
1595875265.717007,42.32650197332106,11.724042065789316,0
1595875265.7270052,44.12619984929762,11.724042065789316,0
1595875265.73701,45.92705643956862,11.724042065789316,0
1595875265.74701,47.72705472295485,11.724042065789316,0
1595875265.7570024,49.52567971532545,11.724042065789316,0
1595875265.7669992,51.325120099236585,11.724042065789316,0
1595875265.7770033,53.12584794347487,11.724042065789316,0
1595875265.786996,54.92451585118971,11.724042065789316,0
1595875265.7969978,56.72485745732985,11.724042065789316,0
1595875265.8070014,58.52549947087965,11.724042065789316,0
1595875265.8170097,60.32699979131422,11.724042065789316,0
1595875265.8269978,62.12485230748854,11.724042065789316,0
1595875265.8370054,63.926223881890394,11.724042065789316,0
