Type = Mirollor Strogatz (-ish),Function = Peskin,Refract =0.05,Epsilon =0.05,Gamma =3,Start_phase =105
Timestamp,Phase,Offset,Ping?
1596177914,105,0,0
1596177914.0034204,105.61017036437988,0.5833333333333334,0
1596177914.0034204,121.89091315709415,0.6737819044039681,0
1596177914.8999991,283.27603927098573,0.6737819044039681,0,42
1596177914.9099991,285.07783999883,0.6737819044039681,0,42
1596177914.9199991,286.8768512292987,0.6737819044039681,0,42
1596177914.929999,288.6782228037006,0.6737819044039681,0,42
1596177914.939999,290.47727694951357,0.6737819044039681,0,42
1596177914.949999,292.27701774083437,0.6737819044039681,0,42
1596177914.959999,294.07594314061464,0.6737819044039681,0,42
1596177914.969999,295.87791552983583,0.6737819044039681,0,42
1596177914.979999,297.6755105539447,0.6737819044039681,0,42
1596177914.989999,299.4754230066425,0.6737819044039681,0,42
1596177914.999999,301.2758933588153,0.6737819044039681,0,42
1596177915.009999,303.0782090707904,0.6737819044039681,0,42
1596177915.019999,304.8769198938495,0.6737819044039681,0,42
1596177915.029999,306.67661776982607,0.6737819044039681,0,42
